id,config.fold,config.n_max,config.l_max,config.n_train,config.hidden_size,config.n_layers,config.dropout,config.activation,config.optimizer,config.weight_decay,config.lr,config.structures_per_batch,results.local.mae.train,results.local.mae.val,results.local.mae.test,results.local.rmse.train,results.local.rmse.val,results.local.rmse.test,results.structure.mae.train,results.structure.mae.val,results.structure.mae.test,results.structure.rmse.train,results.structure.rmse.val,results.structure.rmse.test,metadata._time.start,metadata._time.end,metadata.search-mode
221025-141706-9144-hard-save,0,8,8,-1,13,2,0.404,CELU,AdamW,0.0118597101233766,0.0005232991146814,64,0.4616273754091194,0.452360194396043,0.4531813701024946,0.6080371912034663,0.5940879103227693,0.5957447369547549,2.561206982965632,3.337676820856123,2.983228580283781,3.170994154896479,4.048672276071749,3.673521923539066,1666703826.914742,1666704040.055367,random
221025-141720-3707-kind-math,0,8,8,-1,150,2,0.104,CELU,AdamW,0.5994842503189409,0.0002206734069084,64,0.5890456988064541,0.5774527789444717,0.5812502890810534,0.7701661970746242,0.7509295239499522,0.7576864232421066,2.415211016899101,3.4477245877863054,3.121617497582369,3.075442284935115,4.24799100845447,3.846957425292576,1666703840.371259,1666704019.780409,random
221025-141720-3714-weak-dirt,0,8,8,-1,43,2,0.48,CELU,AdamW,5.994842503189409e-05,0.0001240937760751,64,0.4946349129938865,0.4883526059273043,0.4848378475686495,0.654042826617343,0.642769502059524,0.6396456814414584,2.863912018469095,3.613621868502816,3.173569265811216,3.527774738799098,4.454241306883568,3.963528821941199,1666703840.371692,1666704040.843337,random
221025-141720-3752-cute-gold,0,8,8,-1,8,2,0.044,CELU,AdamW,0.2555097090352507,0.0005829415347136,64,0.4980146530781972,0.4905048577564309,0.487752313487122,0.6555417966470504,0.6416911492748378,0.6412996207321063,2.679115016039749,3.4843100436198067,3.132109932472136,3.3975906155319766,4.429710981996105,3.893826912159556,1666703840.375467,1666703937.617258,random
221025-141725-9971-next-mine,0,8,8,-1,139,4,0.368,CELU,AdamW,0.1089022962263728,0.0001357727142105,64,0.4809728736804667,0.4731148016682745,0.4728578260382059,0.6291984655600635,0.6162790813853621,0.6168682100633207,2.749347778108267,3.762690169561929,2.9990945597936025,3.4309755275438354,4.719724868514611,3.8236666523562985,1666703845.997499,1666703962.63816,random
221025-141732-6470-slow-form,0,8,8,-1,334,3,0.164,CELU,AdamW,0.0918254283565626,0.0003785515249258,64,0.5650787499116444,0.5459688073343394,0.5586976725886763,0.7471850914321541,0.7186079511851544,0.7354259016228263,1.9443659082962788,3.241820251785982,2.989405451638077,2.5484526264797367,4.154379766246771,3.775110651439488,1666703852.648375,1666703985.707502,random
221025-141737-3907-weak-gift,0,8,8,-1,164,2,0.324,CELU,AdamW,2.555097090352507e-05,0.0003278121151393,64,0.5436586134549727,0.5275838027941292,0.5378730386267543,0.7151281491604033,0.691773239080979,0.7053092007764903,1.4845270747366417,2.8557734172729377,2.5958795774531387,1.840455918536381,3.646938920361269,3.284297530502132,1666703857.390994,1666704026.550365,random
221025-141740-6865-pure-long,0,8,8,-1,259,4,0.468,CELU,AdamW,5.0547968211912455e-05,0.0004293510210083,64,0.5172175735151948,0.5027746071687479,0.5132695844722914,0.6801187865668396,0.657793114646864,0.6736402485553877,3.3373486121294924,4.21177560359058,3.472293776359066,3.889675075362261,4.927651367841287,4.288308376912227,1666703860.686971,1666703985.880851,random
221025-141742-9610-torn-text,0,8,8,-1,8,2,0.044,CELU,AdamW,0.2555097090352507,0.0005829415347136,64,0.5547317558389206,0.5463831565976979,0.5468501694767602,0.7294389852030404,0.7123860741115873,0.7169986060757307,2.634433993971946,3.5534299886040897,3.1034287891542496,3.2909667884344005,4.485733731415917,3.959483889469461,1666703862.961334,1666703988.69294,random
221025-141744-4621-tame-ship,0,8,8,-1,67,1,0.14,CELU,AdamW,0.0166810053720005,0.0006493816315762,64,0.6150703192195452,0.605181196739178,0.6038809684821909,0.8026979358001619,0.7891108241604962,0.7874195231209705,1.9089753627915,3.3403941853556613,3.2303355967480143,2.413807734612281,4.25140398946315,4.013391229951944,1666703864.482125,1666704128.170079,random
221025-141752-4668-thin-rule,0,8,8,-1,214,1,0.12,CELU,AdamW,2.1544346900318823e-05,0.0002371373705661,64,0.6466023086871328,0.636594917939522,0.6380935563283525,0.8400136116969151,0.8275522285412632,0.8258635913126187,1.5475855134815206,3.567492176077933,3.2289278897341616,2.062119975198711,4.4184797443487,4.022819939727537,1666703872.477806,1666704038.110191,random
221025-141752-5054-evil-loan,0,8,8,-1,43,4,0.388,CELU,AdamW,0.000391374560198,0.0003718026663914,64,0.4495189434431969,0.4404736192932895,0.4432881873513053,0.5904192196778068,0.5757404863108061,0.581236386351391,2.826430794207803,3.6726191830409367,2.9220895252706187,3.5127753107942867,4.637967397979903,3.772286027969804,1666703872.515895,1666703967.658562,random
221025-141752-5186-worn-zone,0,8,8,-1,9,1,0.1,CELU,AdamW,0.0001,0.0003162277660168,64,0.4999164727996042,0.4912548312048037,0.4912004651921672,0.657138373327352,0.6451809856739473,0.6433933043444197,2.1682541912028244,3.2755154684929364,2.9306175268531125,2.793268620664534,4.107727417512819,3.703107764653745,1666703872.532733,1666704135.873476,random
221025-141752-5283-half-fill,0,8,8,-1,73,2,0.36,CELU,AdamW,2.782559402207126e-06,0.000191095297497,64,0.4931132892281916,0.4808967589046469,0.4863178136844683,0.64935246516676,0.6308430431709476,0.6378677574478938,2.2095612353714205,3.33525681591735,2.9422929039422683,2.8839083027272285,4.148301529844187,3.721643893286773,1666703872.542281,1666704044.98687,random
221025-141752-5960-ripe-make,0,8,8,-1,23,4,0.288,CELU,AdamW,3.913745601980384e-06,0.000117574326592,64,0.5029647227135959,0.4983941311819585,0.4921663228188768,0.6616700063783847,0.6532892524952171,0.6459961726550973,3.595874440638635,4.405117666656662,3.698323623405692,4.4083380603115,5.607531051467863,4.659762616784565,1666703872.609685,1666703975.001591,random
221025-141754-7555-zany-care,0,8,8,-1,9,3,0.264,CELU,AdamW,4.262158829015325e-05,0.0002128751661796,64,0.4723196280485083,0.4681348170380313,0.4617561349056001,0.6221044259941833,0.6150871265420538,0.6065568480740866,3.648492311609148,4.4275535431901805,3.841272688781282,4.47315396642324,5.606628214338497,4.763938587421436,1666703874.75579,1666703986.764546,random
221025-141756-9664-mild-heat,0,8,8,-1,166,4,0.232,CELU,AdamW,0.0001058501208088,0.0001945640061588,64,0.4785744772276891,0.4662940427340636,0.4742603490431013,0.627656158239203,0.608779760318328,0.6199105837466009,2.4747098678120776,3.508032896312272,2.7933331879790404,3.030566096536212,4.457317919203936,3.708392274652015,1666703876.966802,1666704019.530277,random
221025-141759-9993-only-task,0,8,8,-1,196,3,0.284,CELU,AdamW,0.0330003479112528,0.0008976871324473,64,0.5379430699325243,0.5251753540719992,0.5308695096554519,0.7103338139530446,0.6892891978103365,0.6991552143203921,4.345238661281373,4.841377170343223,4.695582530999695,4.816457315604287,5.728444304504724,5.638665391087302,1666703879.999634,1666703970.335354,random
221025-141800-8985-zany-meat,0,8,8,-1,8,4,0.432,CELU,AdamW,4.913127387829667e-06,0.000145902421563,64,0.5809489049867632,0.5777813043620151,0.5661013396197384,0.77436049545182,0.7657396696598172,0.755307138407397,7.8903777159866175,8.778805601901638,7.9287135562343645,9.745723604395089,10.964173303863658,9.591583044789129,1666703880.898785,1666703920.006308,random
221025-141802-8578-rude-suit,0,8,8,-1,43,4,0.388,CELU,AdamW,0.000391374560198,0.0003718026663914,64,0.4574454115708191,0.4498410874511855,0.4495216662452532,0.6013366553754687,0.5885514268628477,0.5897729497589661,3.564019976183719,4.382594321112635,3.436687419726076,4.363525989598583,5.432738781707012,4.412727367231175,1666703882.860978,1666703962.494617,random
221025-141811-7938-zany-mind,0,8,8,-1,36,1,0.04,CELU,AdamW,0.00016681005372,0.0002053525026457,64,0.5865904396207063,0.5757230694782144,0.5772455648666733,0.7627601697169818,0.748121722843961,0.748588555156317,1.5921314143679697,3.5024543321358936,3.315414934295561,2.1004699947528334,4.360279432273244,4.030747224285596,1666703891.794336,1666704223.59618,random
221025-141811-7943-lean-rest,0,8,8,-1,116,3,0.408,CELU,AdamW,1.4065272421052364e-06,0.0002641648320386,64,0.4921259687486751,0.4811744732570847,0.4874599827695771,0.645547855503358,0.6263922625644228,0.6370384548431068,2.3743897474798263,3.299771926282198,2.794314614113329,2.985756284904095,4.190183167397596,3.5975379988531,1666703891.794892,1666704026.780174,random
221025-141813-3089-dark-tool,0,8,8,-1,33,1,0.3,CELU,AdamW,4.641588833612782e-06,0.0005623413251903,64,0.5055926578715988,0.4972817811097029,0.4963719351567112,0.6655772274950078,0.6540812946289248,0.651408345088443,2.17773122442743,3.3247832368111228,2.97155946937317,2.8703778464155407,4.355776531692254,3.842907818842542,1666703893.309189,1666704120.852353,random
221025-141813-3090-neat-roof,0,8,8,-1,51,3,0.344,CELU,AdamW,0.0197831888278416,0.000245824406892,64,0.448774028712867,0.4393747193338885,0.442366687896898,0.5860781809481452,0.57133440591174,0.5765863807633007,2.197960780905908,3.2365155039668045,2.661128291501491,2.8002833579782966,4.142346770323635,3.5094543059268126,1666703893.309351,1666704068.139429,random
221025-141813-6694-even-wear,0,8,8,-1,125,1,0.24,CELU,AdamW,7.742636826811277e-06,0.0001539926526059,64,0.606623712340229,0.6006340320961456,0.5998000234415487,0.7942475117199171,0.7858372658299436,0.7817293957363729,2.3659675978259243,3.7300950262566896,3.276410858215901,3.121165130422946,4.648157149205623,4.169111399386025,1666703893.669735,1666704025.361665,random
221025-141814-4028-rosy-math,0,8,8,-1,21,2,0.16,CELU,AdamW,0.0035938136638046,0.0001074607828321,64,0.495274521937661,0.4835261210810184,0.4878029819574088,0.6522163881772565,0.633572702747299,0.6404030845043717,2.098721961214483,3.1959610350366705,2.7217930521719778,2.693278623236524,4.051836624444191,3.4742174963429244,1666703894.403202,1666704205.444591,random
221025-141817-2235-pale-ride,0,8,8,-1,181,5,0.452,CELU,AdamW,0.2280471722146732,0.0003995420558949,64,0.4649677302456582,0.4530842942833751,0.4607717340929133,0.6061919305389599,0.587912647453777,0.6005234080855636,1.886544005359997,2.6526014562034086,2.372327349810066,2.402856130695022,3.3974985281274126,3.14082820533422,1666703900.677877,1666704062.223953,random
221025-141840-0099-pure-base,1,8,8,-1,8,4,0.432,CELU,AdamW,4.913127387829667e-06,0.000145902421563,64,0.4972786111822772,0.493583563943707,0.4922633670977387,0.6611914160384752,0.6523372518364343,0.6542191919289868,5.140035847899877,5.619052929061323,6.245767579924952,6.156049567999258,6.664991256211342,7.4550448142305905,1666703920.010311,1666704282.63426,random
221025-141840-4279-lazy-news,0,8,8,-1,47,4,0.032,CELU,AdamW,0.8431909292866251,0.0001094113810577,64,0.5066963845757959,0.5007900551913461,0.4983604905255507,0.6666027989583031,0.6569635745726861,0.6559237375102563,2.7242840440697456,3.798681265997941,3.0637167204364744,3.4351066669870307,4.805796073279932,3.979832563837303,1666703920.428203,1666704040.93783,random
221025-141842-5406-lost-nail,1,8,8,-1,73,2,0.36,CELU,AdamW,2.782559402207126e-06,0.000191095297497,64,0.4913810048601716,0.4887595372851392,0.4822710311510894,0.6471683349754354,0.645870270085383,0.6321607609147397,2.41367279689124,3.215261379153264,3.4438761904451884,3.0809371895998017,3.963258187094668,4.537131528912179,1666703922.546998,1666704060.788352,random
221025-141843-6319-this-feed,0,8,8,-1,7,4,0.212,CELU,AdamW,0.1816599788375325,0.0004958068241684,64,0.4811775609053667,0.4751364942474516,0.4706425625320909,0.6372934718470901,0.6268791533170253,0.6245283747309719,3.264667665257561,4.033520780747506,3.486754561799363,3.983704519095168,5.136308246755192,4.332663959160785,1666703923.632371,1666704055.68627,random
221025-141850-6711-open-burn,1,8,8,-1,19,3,0.328,CELU,AdamW,0.0006528521141127,0.0002287573200318,64,0.451290796814549,0.4501293815279534,0.4438003581402139,0.5973178202562284,0.5943987738447444,0.5857636840146903,2.961590811536422,3.567930330514173,3.976696251066145,3.7088949948588,4.402766950920975,5.103874612226045,1666703930.671627,1666704096.791776,random
221025-141857-6894-calm-deal,1,8,8,-1,8,2,0.044,CELU,AdamW,0.2555097090352507,0.0005829415347136,64,0.5367621389002515,0.5353601359688144,0.5298072716083162,0.7067451423566897,0.7057958236933243,0.6927854334608392,2.450479793992551,3.033413141363657,3.325593866058815,3.147682364380304,3.8576724289524864,4.2819980636898665,1666703937.696444,1666704110.87988,random
221025-141909-9656-smug-safe,0,8,8,-1,10,1,0.32,CELU,AdamW,0.2154434690031882,0.0001154781984689,64,0.5311134053586584,0.5267659754807478,0.5209661538922703,0.7016161493120862,0.6925762209836028,0.6858187228601099,3.209478763197176,3.884878636302144,3.4782902139068588,4.093479359786264,4.872585817368355,4.619258869210224,1666703949.966627,1666704226.719971,random
221025-141909-9670-real-mine,0,8,8,-1,10,3,0.228,CELU,AdamW,6.528521141127848e-06,0.0004067944321083,64,0.480710388174133,0.4735407400685393,0.4710121463953562,0.6317468145425799,0.6198039755305937,0.6192108148952971,2.808898645451828,3.483215726165977,3.1185349953558648,3.590770908702269,4.350202189478159,3.989367628769649,1666703949.967383,1666704141.926784,random
221025-141909-9673-lame-code,0,8,8,-1,8,4,0.432,CELU,AdamW,4.913127387829667e-06,0.000145902421563,64,0.5043160052294626,0.4969306925853018,0.4939966810586749,0.6685704619206531,0.6552668408938399,0.655013828904577,4.829596606264136,5.683041884302502,4.722599111393553,5.739792111232061,6.818293261363575,5.631698223032214,1666703949.967863,1666704266.754779,random
221025-141910-1808-poor-game,0,8,8,-1,214,1,0.12,CELU,AdamW,2.1544346900318823e-05,0.0002371373705661,64,0.6226734829275685,0.6122841675200227,0.6147948312471189,0.8104653573518149,0.7970836338722029,0.7969670757126094,1.7673695260329303,3.5334615609408613,3.1337628722533184,2.304221648884566,4.383783600626489,3.877220722718955,1666703950.181215,1666704169.198671,random
221025-141910-1875-fake-jump,0,8,8,-1,80,2,0.004,CELU,AdamW,0.0059948425031894,0.0003924189758484,64,0.5978510894490608,0.5820804153698383,0.5913189164522942,0.7702998693893722,0.7478131289292161,0.758273162472042,1.6311947820851675,3.402086441265516,3.400509827136481,2.10081849886352,4.374165054711085,4.221314875026866,1666703950.188037,1666704113.565577,random
221025-141912-3551-puny-fuel,1,8,8,-1,339,5,0.072,CELU,AdamW,1.765686433839502e-06,0.0002246790091812,64,0.5175528398278082,0.5191726675537789,0.5003623956855939,0.6827621320771404,0.6823083216279008,0.6581411601109318,0.9141034984395524,2.5475277800365173,2.675446569940019,1.2721571525612108,3.2188291711717745,3.3620506320337813,1666703952.355882,1666704153.837645,random
221025-141922-5000-arid-task,1,8,8,-1,43,4,0.388,CELU,AdamW,0.000391374560198,0.0003718026663914,64,0.4411497817375896,0.4406544432973817,0.4339905007765924,0.5774042024588986,0.574978884156532,0.566278058131856,3.1670730263283606,3.956668337525217,4.20092291483452,4.020288634259223,4.985358141038573,5.48671719483255,1666703962.50047,1666704056.153886,random
221025-141922-6410-fast-mess,1,8,8,-1,139,4,0.368,CELU,AdamW,0.1089022962263728,0.0001357727142105,64,0.4338096904154337,0.4310454350883735,0.4269015484230425,0.5678843370560808,0.5645254693447945,0.557717599829996,2.7422305711659742,3.3480358722058496,3.8810128297208855,3.424130027432164,4.163200207058631,5.077864804562784,1666703962.641522,1666704115.484072,random
221025-141922-6772-busy-view,1,8,8,-1,10,3,0.228,CELU,AdamW,6.528521141127848e-06,0.0004067944321083,64,0.4702734750785714,0.4693079805272286,0.46376865674154,0.6240779234655647,0.6218752833303749,0.6127860512658484,2.9255968009608107,3.501999895492965,3.769159832337405,3.700908253296295,4.303399735031188,4.934447082269442,1666703962.677949,1666704063.116611,random
221025-141924-7262-evil-word,0,8,8,-1,9,3,0.008,CELU,AdamW,0.1531740463702076,0.000198095677855,64,0.4503949112697678,0.4434100345792249,0.4436203136583613,0.5912544429174051,0.579680208872556,0.5813460137205168,2.407876040042036,3.565323295332701,2.810134910800361,3.035227408223463,4.49357741303858,3.7256781380650654,1666703964.727232,1666704202.883319,random
221025-141924-7272-both-poet,0,8,8,-1,80,2,0.004,CELU,AdamW,0.0059948425031894,0.0003924189758484,64,0.5896605604440003,0.5782252706723282,0.5837174766458427,0.7585384737207528,0.7407715895237861,0.7480620627300234,1.6990101339048946,3.3250994647834866,3.3254640591632576,2.202777022064462,4.288344750045067,4.049364186341628,1666703964.727599,1666704124.181397,random
221025-141924-7272-even-slip,0,8,8,-1,181,5,0.452,CELU,AdamW,0.2280471722146732,0.0003995420558949,64,0.4910328361120492,0.479403853649192,0.486909437680854,0.6463208955847243,0.6273292970541805,0.6401622515409573,2.443804395835482,2.9105674802431505,2.79368476606443,3.114079457471118,3.692335086730194,3.596094768814851,1666703964.72929,1666704173.865609,random
221025-141924-7272-next-side,0,8,8,-1,87,2,0.224,CELU,AdamW,0.0550478980785496,0.0001036632928437,64,0.5305582785158262,0.5167126313658467,0.5228919871359081,0.6961670461053653,0.6762414841324593,0.6834360546281667,1.7563076665684387,3.173311736459884,2.646303873619826,2.236792607442348,3.9757643867256287,3.315630255053553,1666703964.727606,1666704385.667405,random
221025-141924-7273-neat-roll,0,8,8,-1,179,3,0.064,CELU,AdamW,0.0009182542835656,0.0001197085030495,64,0.5758282594973183,0.5591488947679684,0.5692930516197041,0.7540086789768464,0.7296423323666003,0.7407867311172639,1.475981279386053,2.7954171752909347,2.60951668539346,1.778551338050135,3.653230368901976,3.481120473049101,1666703964.72928,1666704336.385512,random
221025-141924-7273-next-rush,0,8,8,-1,11,4,0.448,CELU,AdamW,0.0002346228848142,0.0001018151721718,64,0.5936494277837409,0.5899032922828465,0.5794279972371604,0.7920569181277656,0.7847015117735723,0.7741622249573954,8.288415171888465,9.409128713162094,8.157603572469098,10.251781934488273,11.481867447620242,9.946181326322868,1666703964.729378,1666704068.191901,random
221025-141924-7273-pure-risk,0,8,8,-1,8,4,0.432,CELU,AdamW,4.913127387829667e-06,0.000145902421563,64,0.5925983474896255,0.5863035788682993,0.5805891398981973,0.7866204809641141,0.7758012918726422,0.7713939344070575,8.460504390829566,8.919182798888274,8.561044322064355,10.167024947632068,10.732400070630185,10.159091050603877,1666703965.192759,1666704059.714157,random
221025-141927-6698-pale-dead,1,8,8,-1,43,4,0.388,CELU,AdamW,0.000391374560198,0.0003718026663914,64,0.4612209225415777,0.4607054607644105,0.4541786548257541,0.6069333800559366,0.6042136133481024,0.5957848478914831,3.0863499514990864,3.770247494617701,4.1234536471645455,3.888313615435868,4.686827154709724,5.352858311096967,1666703967.670183,1666704021.932145,random
221025-141932-2301-rare-ruin,1,8,8,-1,196,3,0.284,CELU,AdamW,0.0330003479112528,0.0008976871324473,64,0.5322507746162505,0.5349733608134979,0.5148776698379206,0.7050947259294864,0.7073683153450789,0.6794916847002819,1.7842939244601077,3.0750309056955323,3.072197252760559,2.21411970266098,3.731196483980082,3.81285418761618,1666703972.230781,1666704055.363363,random
221025-141935-0041-free-hide,1,8,8,-1,23,4,0.288,CELU,AdamW,3.913745601980384e-06,0.000117574326592,64,0.4984317657221168,0.4968842273929311,0.4941819177287103,0.6579267054815218,0.6549064118859741,0.6494337653388861,3.474248822404394,3.964566496848229,4.440389241095645,4.254126821446764,4.88219199452069,5.471073549508705,1666703975.004503,1666704071.045169,random
221025-141936-1056-tart-ring,0,8,8,-1,217,3,0.028,CELU,AdamW,0.0001406527242105,0.0008353625469578,64,0.5877883487859257,0.5658909894733047,0.5801524832278744,0.7775532678860363,0.7458172130377924,0.7646972254481557,1.144321777892226,2.5096785286267296,2.675326607432389,1.4191794167438267,3.209388666318948,3.485479621314006,1666703976.200894,1666704088.563903,random
221025-141939-9274-fair-page,1,8,8,-1,43,2,0.48,CELU,AdamW,5.994842503189409e-05,0.0001240937760751,64,0.4630961806879896,0.460200278797628,0.4566611488633318,0.6116053088010759,0.6093968757731861,0.6000259830978467,2.6827986321050097,3.2947588714974634,3.607206176430296,3.385166430849836,4.08167645191425,4.695556265286031,1666703979.927871,1666704174.34872,random
221025-141945-7179-sore-save,1,8,8,-1,334,3,0.164,CELU,AdamW,0.0918254283565626,0.0003785515249258,64,0.5725358982795478,0.5760361247222875,0.5552562900434583,0.7662730384885865,0.7662750093988732,0.7379770462167551,2.115066704387569,3.169512023495664,3.411314447771089,2.572663119706159,4.054258798707293,4.038620129679269,1666703985.718394,1666704093.170093,random
221025-141945-8887-lone-host,1,8,8,-1,259,4,0.468,CELU,AdamW,5.0547968211912455e-05,0.0004293510210083,64,0.4910700816042571,0.4939462248325651,0.4780439154007372,0.6505740277889934,0.6533454294272901,0.6296376727082632,3.0154362578083544,3.8943241457269258,3.9144678653184575,3.586689055965046,4.699353571948806,4.806229652404301,1666703985.889205,1666704109.854056,random
221025-141945-9187-arid-term,1,8,8,-1,16,5,0.272,CELU,AdamW,0.017656864338395,0.0001684854879435,64,0.437240146827242,0.437003620558732,0.4305414217579031,0.5772175782839227,0.5741288726363755,0.5681523987587136,3.871718623725188,4.490615974986987,4.937179640709657,4.673893767399218,5.400060082062955,6.088449512800348,1666703985.91948,1666704184.460302,random
221025-141946-7749-tame-list,1,8,8,-1,9,3,0.264,CELU,AdamW,4.262158829015325e-05,0.0002128751661796,64,0.4683008761232121,0.4661292357894965,0.4619759464041463,0.6190304102283756,0.6145041820378206,0.6090789607200886,3.4236472725754203,4.058546848360998,4.488202768581474,4.196148175254552,4.884663007560739,5.514426711002477,1666703986.775796,1666704159.905102,random
221025-141948-7524-spry-bend,1,8,8,-1,8,2,0.044,CELU,AdamW,0.2555097090352507,0.0005829415347136,64,0.5297818477712902,0.5287259141263291,0.5225886529293176,0.6964073941206338,0.6958441788684143,0.6819593735179199,2.7288325950578085,3.275767599160308,3.5140743277534505,3.47340877940807,4.151334232980955,4.606896739779663,1666703988.764351,1666704110.196743,random
221025-142014-8937-glum-skin,0,8,8,-1,9,5,0.172,CELU,AdamW,0.0001765686433839,0.0007104974114426,64,0.4463510733090186,0.4393804829584612,0.4398274005042853,0.5893288328353495,0.576770797651228,0.5811557924221566,3.13567511341469,3.960099623120916,3.122506419564897,3.850067837243772,4.874702921489027,4.016952352814126,1666704014.894091,1666704114.330306,random
221025-142019-5412-puny-hate,1,8,8,-1,166,4,0.232,CELU,AdamW,0.0001058501208088,0.0001945640061588,64,0.4999261788600131,0.4993038687828303,0.4892181911457945,0.658947009353365,0.6589018876030194,0.6407541158052285,2.2223158111265744,3.1095844662349243,3.411811088284784,2.797959813154058,3.89523285443334,4.321629642246957,1666704019.543202,1666704107.020197,random
221025-142019-7900-posh-peak,1,8,8,-1,150,2,0.104,CELU,AdamW,0.5994842503189409,0.0002206734069084,64,0.5758088552068323,0.5726342288797648,0.5656046922015432,0.7521267697158374,0.7489067010945615,0.7344934373893796,2.382582188643629,3.2250653509748943,3.5777687696363,2.9954044115532232,3.963391047577259,4.561826703567751,1666704019.791766,1666704200.87672,random
221025-142021-9342-lost-town,2,8,8,-1,43,4,0.388,CELU,AdamW,0.000391374560198,0.0003718026663914,64,0.429371820052284,0.4138351842140138,0.4286352878144466,0.5582805981095241,0.5378055977758134,0.557220607340356,2.324874694820188,2.7208561398098183,3.2172989968098618,2.978712196584476,3.4469993527995464,4.218171433706999,1666704021.934589,1666704179.065508,random
221025-142025-3652-lazy-poem,1,8,8,-1,125,1,0.24,CELU,AdamW,7.742636826811277e-06,0.0001539926526059,64,0.5994065442323201,0.5949294205259344,0.5930557905668977,0.7854332140079934,0.7810621707628788,0.7748935085620892,2.648592162759087,3.524908374411401,3.80296870309607,3.423325629928195,4.55981616640056,4.7917255283554,1666704025.365748,1666704100.340677,random
